HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"","1","Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, excluding edible fish offal of subheadings 0303.91 to 0303.99:","","","","","",""
"0303.63.00","2","Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)","","Free","","2.2¢/kg","",""
"0303.63.00.10","3","Atlantic","[""kg""]","","","","",""
"0303.63.00.90","3","Other","[""kg""]","","","","",""
"0303.64.00.00","2","Haddock (Melanogrammus aeglefinus)","[""kg""]","Free","","2.2¢/kg","",""
"0303.65.00.00","2","Coalfish (Pollachius virens)","[""kg""]","Free","","2.2¢/kg","",""
"0303.66.00.00","2","Hake (Merluccius spp., Urophycis spp.)","[""kg""]","Free","","2.2¢/kg","",""
"0303.67.00.00","2","Alaska pollock (Theragra chalcogramma)","[""kg""]","Free","","2.2¢/kg","",""
"0303.68.00.00","2","Blue whitings (Micromesistius poutassou, Micromesistius australis)","[""kg""]","Free","","2.2¢/kg","",""
"0303.69.00.00","2","Other","[""kg""]","Free","","2.2¢/kg","",""
"","1","Other fish, excluding edible fish offal of subheadings 0303.91 to 0303.99:","","","","","",""
"0303.81.00","2","Dogfish and other sharks","","1.1¢/kg","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","2.2¢/kg","",""
"0303.81.00.11","3","Dogfish (Squalus spp.)","[""kg""]","","","","",""
"0303.81.00.91","3","Other","[""kg""]","","","","",""
"0303.82.00.00","2","Rays and skates (Rajidae)","[""kg""]","Free","","2.2¢/kg","",""
"0303.83.00.00","2","Toothfish (Dissostichus spp.)","[""kg""]","Free","","2.2¢/kg","",""
"0303.84.00.00","2","Sea Bass (Dicentrachus spp.)","[""kg""]","Free","","2.2¢/kg","",""
"0303.89.00","2","Other","","Free","","2.2¢/kg","",""
"","3","Smelts:","","","","","",""
"0303.89.00.01","4","Sea smelts","[""kg""]","","","","",""
